Id,OrganizationId,CertifiedStatus,License,CertificateCode,CertificateType,Organization,Role,Country,CertificateUrl,SalesActivityStatus
a0240000009O5UZAA0,0014000000f18TqAAI,Terminated,FSC-C111159,TT-COC-004144,COC,PT Malindo Irfan,Certificate holder,INDONESIA,/api/v1/Certification/a0240000009O5UZAA0/PrintFile?culture=en,
a0240000005sU6BAAU,0014000000PeaFOAAZ,Terminated,FSC-C014730,RA-COC-004142,COC,PT Mamagreen Pacific,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005sU6BAAU/PrintFile?culture=en,
a0240000005sSgwAAE,0014000000PedvkAAB,Terminated,FSC-C009321,SW-COC-003376,COC,PT Marcelindo Jaya Pratama,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005sSgwAAE/PrintFile?culture=en,
a0240000005sR9LAAU,0014000000PeaDjAAJ,Terminated,FSC-C003394,SW-COC-572,COC,PT Mareno Indonesia-Warehouse (Kawasan Industri Candi),Site,INDONESIA,/api/v1/Certification/a0240000005sR9LAAU/PrintFile?culture=en,
a0240000005sV3NAAU,0014000000PeaBKAAZ,Terminated,FSC-C018400,SW-COC-114,COC,PT Mareno Raya Nusantara,Site,INDONESIA,/api/v1/Certification/a0240000005sV3NAAU/PrintFile?culture=en,
a02Do0000070KFMIA2,001Do00000PwMkSIAV,Valid,FSC-C195919,SCS-COC-010243,COC,PT Margi Jati Makmur,Certificate holder,INDONESIA,/api/v1/Certification/a02Do0000070KFMIA2/PrintFile?culture=en,
a02f300000iIUdEAAW,001f300001vyVf5AAE,Valid,FSC-C146275,SA-COC-012465,COC,PT Margono Dian Graha,Certificate holder,INDONESIA,/api/v1/Certification/a02f300000iIUdEAAW/PrintFile?culture=en,
a02f300000m3GI4AAM,001f3000021UYTGAA4,Terminated,FSC-C160574,BV-COC-160574,COC,PT Master Kidz Indonesia,Certificate holder,INDONESIA,/api/v1/Certification/a02f300000m3GI4AAM/PrintFile?culture=en,
a02f300000m3GI4AAM,001Do00000QqmziIAB,Terminated,FSC-C160574,BV-COC-160574,COC,PT Master Kidz Indonesia,Site,INDONESIA,/api/v1/Certification/a02f300000m3GI4AAM/PrintFile?culture=en,
a0240000005sSumAAE,0014000000PebFEAAZ,Terminated,FSC-C010179,TT-COC-002203,COC,PT Masterwood Indonesia,Certificate holder,INDONESIA,/api/v1/Certification/a0240000005sSumAAE/PrintFile?culture=en,
a024y00000o7uXNAAY,0014y00002V7vnrAAB,Valid,FSC-C173068,SA-COC-012614,COC,PT Mauson Indonesia Wood Industry,Certificate holder,INDONESIA,/api/v1/Certification/a024y00000o7uXNAAY/PrintFile?culture=en,
a02Do000006wP8tIAE,001Do00000PvvZRIAZ,Valid,FSC-C195644,SCS-COC-010226,COC,PT Maxim Smart Manufacturing Indonesia,Certificate holder,INDONESIA,/api/v1/Certification/a02Do000006wP8tIAE/PrintFile?culture=en,
a0240000007neeXAAQ,0014000000bZIc6AAG,Valid,FSC-C108037,SGSHK-COC-009059,COC,PT Mega Surya Eratama,Certificate holder,INDONESIA,/api/v1/Certification/a0240000007neeXAAQ/PrintFile?culture=en,
a02Do0000014cFuIAI,001Do00000DuU6kIAF,Suspended,FSC-C189025,BV-COC-189025,COC,PT Megabox Karunia Abadi,Certificate holder,INDONESIA,/api/v1/Certification/a02Do0000014cFuIAI/PrintFile?culture=en,
a023300000ZZVF9AAP,0013300001hOx2oAAC,Valid,FSC-C129138,SA-COC-008192,COC,PT Mekabox International,Certificate holder,INDONESIA,/api/v1/Certification/a023300000ZZVF9AAP/PrintFile?culture=en,
a02UV00000C20TFYAZ,001UV00000QALNbYAP,Valid,FSC-C216006,SGSHK-COC-440128,COC,PT Menara Warna Indonesia,Certificate holder,INDONESIA,/api/v1/Certification/a02UV00000C20TFYAZ/PrintFile?culture=en,
a024y00000o6nNsAAI,0014y00002T0hX5AAJ,Terminated,FSC-C170514,SCS-COC-008690,COC,PT Millennium Ratanindo Perkasa,Certificate holder,INDONESIA,/api/v1/Certification/a024y00000o6nNsAAI/PrintFile?culture=en,
a02UV00000BIhMjYAL,001UV00000P72wjYAB,Valid,FSC-C215089,BV-COC-215089,COC,PT Mitra Anugerah Paperindo,Certificate holder,INDONESIA,/api/v1/Certification/a02UV00000BIhMjYAL/PrintFile?culture=en,
a023300000ayrv8AAA,0013300001ilojXAAQ,Terminated,FSC-C130474,TUVDC-COC-100892,COC,PT Mitra Awet Sejahtera,Certificate holder,INDONESIA,/api/v1/Certification/a023300000ayrv8AAA/PrintFile?culture=en,
a024000000DDxvOAAT,0014000000mRkHXAA0,Valid,FSC-C114516,SGSHK-COC-009714,COC,PT Mitra Surya Eratama Packaging,Site,INDONESIA,/api/v1/Certification/a024000000DDxvOAAT/PrintFile?culture=en,
a024000000DDxvOAAT,0014000000mRkGIAA0,Valid,FSC-C114516,SGSHK-COC-009714,COC,PT Mitracitra Mandirioffset,Certificate holder,INDONESIA,/api/v1/Certification/a024000000DDxvOAAT/PrintFile?culture=en,
a024000000DDxvOAAT,0014000000mRkIdAAK,Valid,FSC-C114516,SGSHK-COC-009714,COC,PT Mitracitra Mandirioffset  - Jasem Factory,Site,INDONESIA,/api/v1/Certification/a024000000DDxvOAAT/PrintFile?culture=en,
a024000000OqR0QAAV,0014000001PS5iyAAD,Terminated,FSC-C122765,TT-COC-005127,COC,PT Mount Dreams Indonesia,Certificate holder,INDONESIA,/api/v1/Certification/a024000000OqR0QAAV/PrintFile?culture=en,
