Id,OrganizationId,CertifiedStatus,License,CertificateCode,CertificateType,Organization,Role,Country,CertificateUrl,SalesActivityStatus
a024y00000m3mMhAAI,0014y00002dyfUcAAI,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Karanganyar - 10 FMUs,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001Do000002neDYIAY,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Karya Tani,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001UV00000ivvwMYAQ,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Kemiri Lestari,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001Do000002neDEIAY,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Kopang Jaya,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001UV000006tTE2YAM,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Kupang Lestari,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001Do000002neCfIAI,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Lembah Mbencirang,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,0014y000024QFfwAAG,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Maju Jaya - 15 FMUs,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,0014y000024QFRCAA4,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Makmur - 8 FMUs,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,0014y00002dyfSsAAI,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Mandiri - 54 FMUs,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001Do000002neCaIAI,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Mojo Makmur,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001Do000002neE7IAI,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Paci I,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001Do000002neDnIAI,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Rukun Makmur (Sidomukti),Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,0014y00002dyfVhAAI,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Rukun Makmur - 6 FMUs,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001Do000002neCGIAY,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Rukun Makmur 3,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001UV00000iw7hKYAQ,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Rukun Tani  Satu,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,0014y00002dyfWLAAY,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Santuso 2 - 30 FMUs,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
a024y00000m3mMhAAI,001UV00000iw0b4YAA,Valid,FSC-C162208,SA-FM/COC-008524,FM/COC,KTH Santuso Lestari,Site,INDONESIA,/api/v1/Certification/a024y00000m3mMhAAI/PrintFile?culture=en,
