Id,Organization,License,CertificateCode,CertificateType,CertifiedStatus,Role,Country,CertifiedForestArea,FirstIssueDate,LastIssueDate,ExpiryDate,SuspensionDate,TerminatedDate,Address_City,Address_State,Address_Street,Address_PostalCode,CertificateUrl,SalesActivityStatus
a023300000fRtRwAAK,Group Asik,FSC-C133562,SA-FM/COC-005493,FM/COC,Valid,Site,INDONESIA,"1,329.76 ha",2017-01-04T00:00:00,2022-01-04T00:00:00,2027-01-03T00:00:00,,,,Province East Java,"Jl. Raya Bromo, Ngepung Village",,https://search-api.fsc.org/api/v1/Certification/a023300000fRtRwAAK/PrintFile?culture=en,
a0240000005sWSPAA2,Group B1,FSC-C023796,SA-FM/COC-002083,FM/COC,Valid,Site,INDONESIA,"1,004.55 ha",2008-12-22T00:00:00,2023-12-22T00:00:00,2028-12-21T00:00:00,,,,Province of East Java,"Condong Village, Gading Subdistrict",67292,https://search-api.fsc.org/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,Group B2,FSC-C023796,SA-FM/COC-002083,FM/COC,Valid,Site,INDONESIA,"1,004.55 ha",2008-12-22T00:00:00,2023-12-22T00:00:00,2028-12-21T00:00:00,,,,Province of East Java,"Condong Village, Gading Subdistrict",67292,https://search-api.fsc.org/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,Group BM,FSC-C023796,SA-FM/COC-002083,FM/COC,Valid,Site,INDONESIA,"1,004.55 ha",2008-12-22T00:00:00,2023-12-22T00:00:00,2028-12-21T00:00:00,,,,Province of East Java,"Condong Village, Gading Subdistrict",67292,https://search-api.fsc.org/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,Group C,FSC-C023796,SA-FM/COC-002083,FM/COC,Valid,Site,INDONESIA,"1,004.55 ha",2008-12-22T00:00:00,2023-12-22T00:00:00,2028-12-21T00:00:00,,,,Province of East Java,"Condong Village, Gading Subdistrict",67292,https://search-api.fsc.org/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,Group D,FSC-C023796,SA-FM/COC-002083,FM/COC,Valid,Site,INDONESIA,"1,004.55 ha",2008-12-22T00:00:00,2023-12-22T00:00:00,2028-12-21T00:00:00,,,,Province of East Java,"Condong Village, Gading Subdistrict",67292,https://search-api.fsc.org/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,Group E,FSC-C023796,SA-FM/COC-002083,FM/COC,Valid,Site,INDONESIA,"1,004.55 ha",2008-12-22T00:00:00,2023-12-22T00:00:00,2028-12-21T00:00:00,,,,Province of East Java,"Condong Village, Gading Subdistrict",67292,https://search-api.fsc.org/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,Group F,FSC-C023796,SA-FM/COC-002083,FM/COC,Valid,Site,INDONESIA,"1,004.55 ha",2008-12-22T00:00:00,2023-12-22T00:00:00,2028-12-21T00:00:00,,,,Province of East Java,"Condong Village, Gading Subdistrict",67292,https://search-api.fsc.org/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,Group G,FSC-C023796,SA-FM/COC-002083,FM/COC,Valid,Site,INDONESIA,"1,004.55 ha",2008-12-22T00:00:00,2023-12-22T00:00:00,2028-12-21T00:00:00,,,,Province of East Java,"Condong Village, Gading Subdistrict",67292,https://search-api.fsc.org/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
a0240000005sWSPAA2,Group H,FSC-C023796,SA-FM/COC-002083,FM/COC,Valid,Site,INDONESIA,"1,004.55 ha",2008-12-22T00:00:00,2023-12-22T00:00:00,2028-12-21T00:00:00,,,,Province of East Java,"Condong Village, Gading Subdistrict",67292,https://search-api.fsc.org/api/v1/Certification/a0240000005sWSPAA2/PrintFile?culture=en,
